0	4.43697	0
0.01001	4.43799	-0.573608
0.02002	4.44104	-1.14768
0.03003	4.44611	-1.72266
0.04004	4.45322	-2.29904
0.0500501	4.46236	-2.87726
0.0600601	4.47353	-3.4578
0.0700701	4.48672	-4.04113
0.0800801	4.50195	-4.62773
0.0900901	4.5192	-5.21809
0.1001	4.53848	-5.8127
0.11011	4.55978	-6.41205
0.12012	4.58311	-7.01667
0.13013	4.60846	-7.62707
0.14014	4.63582	-8.24379
0.15015	4.6652	-8.86737
0.16016	4.69658	-9.49836
0.17017	4.72997	-10.1373
0.18018	4.76535	-10.7849
0.19019	4.80272	-11.4416
0.2002	4.84207	-12.1082
0.21021	4.88338	-12.7852
0.22022	4.92664	-13.4733
0.23023	4.97184	-14.1732
0.24024	5.01896	-14.8855
0.25025	5.06798	-15.6111
0.26026	5.11886	-16.3507
0.27027	5.17159	-17.105
0.28028	5.22613	-17.8748
0.29029	5.28245	-18.661
0.3003	5.34051	-19.4644
0.31031	5.40025	-20.2859
0.32032	5.46163	-21.1264
0.33033	5.52458	-21.9869
0.34034	5.58905	-22.8682
0.35035	5.65494	-23.7714
0.36036	5.72219	-24.6976
0.37037	5.7907	-25.6476
0.38038	5.86037	-26.6227
0.39039	5.93107	-27.6238
0.4004	6.00268	-28.6521
0.41041	6.07507	-29.7087
0.42042	6.14807	-30.7947
0.43043	6.22151	-31.9111
0.44044	6.29521	-33.0592
0.45045	6.36896	-34.24
0.46046	6.44253	-35.4545
0.47047	6.51569	-36.7039
0.48048	6.58816	-37.989
0.49049	6.65966	-39.3108
0.500501	6.72989	-40.6702
0.510511	6.7985	-42.0678
0.520521	6.86516	-43.5044
0.530531	6.92948	-44.9803
0.540541	6.99107	-46.4959
0.550551	7.04952	-48.0514
0.560561	7.10439	-49.6467
0.570571	7.15523	-51.2815
0.580581	7.20158	-52.9552
0.590591	7.24298	-54.6671
0.600601	7.27894	-56.4159
0.610611	7.30899	-58.2002
0.620621	7.33267	-60.0184
0.630631	7.34952	-61.8682
0.640641	7.3591	-63.7473
0.650651	7.36101	-65.653
0.660661	7.35486	-67.5821
0.670671	7.34032	-69.5314
0.680681	7.3171	-71.4972
0.690691	7.28495	-73.4757
0.700701	7.2437	-75.4629
0.710711	7.19322	-77.4547
0.720721	7.13346	-79.4468
0.730731	7.06442	-81.4351
0.740741	6.98616	-83.4154
0.750751	6.89883	-85.3835
0.760761	6.80262	-87.3354
0.770771	6.69776	-89.2675
0.780781	6.58456	-91.1762
0.790791	6.46336	-93.0583
0.800801	6.33454	-94.9107
0.810811	6.19851	-96.7308
0.820821	6.0557	-98.5163
0.830831	5.90657	-100.265
0.840841	5.75156	-101.976
0.850851	5.59116	-103.647
0.860861	5.42582	-105.277
0.870871	5.25601	-106.866
0.880881	5.08217	-108.413
0.890891	4.90473	-109.918
0.900901	4.72411	-111.38
0.910911	4.54072	-112.801
0.920921	4.35493	-114.18
0.930931	4.1671	-115.518
0.940941	3.97756	-116.815
0.950951	3.78664	-118.073
0.960961	3.59461	-119.291
0.970971	3.40175	-120.472
0.980981	3.20831	-121.616
0.990991	3.01451	-122.723
1.001	2.82057	-123.796
1.01101	2.62667	-124.834
1.02102	2.43298	-125.84
1.03103	2.23967	-126.814
1.04104	2.04686	-127.757
1.05105	1.85469	-128.671
1.06106	1.66327	-129.556
1.07107	1.4727	-130.414
1.08108	1.28307	-131.244
1.09109	1.09445	-132.05
1.1011	0.906926	-132.83
1.11111	0.720546	-133.587
1.12112	0.535366	-134.321
1.13113	0.351431	-135.033
1.14114	0.168781	-135.724
1.15115	-0.0125532	-136.394
1.16116	-0.192543	-137.045
1.17117	-0.371165	-137.677
1.18118	-0.548403	-138.291
1.19119	-0.724242	-138.888
1.2012	-0.898671	-139.467
1.21121	-1.07168	-140.031
1.22122	-1.24327	-140.579
1.23123	-1.41344	-141.112
1.24124	-1.58219	-141.631
1.25125	-1.74951	-142.136
1.26126	-1.91542	-142.627
1.27127	-2.07992	-143.106
1.28128	-2.24302	-143.572
1.29129	-2.40472	-144.027
1.3013	-2.56504	-144.47
1.31131	-2.72398	-144.901
1.32132	-2.88156	-145.322
1.33133	-3.0378	-145.733
1.34134	-3.19269	-146.134
1.35135	-3.34626	-146.525
1.36136	-3.49853	-146.906
1.37137	-3.6495	-147.279
1.38138	-3.79918	-147.643
1.39139	-3.94761	-147.999
1.4014	-4.09478	-148.347
1.41141	-4.24071	-148.687
1.42142	-4.38543	-149.019
1.43143	-4.52894	-149.344
1.44144	-4.67126	-149.661
1.45145	-4.81241	-149.972
1.46146	-4.9524	-150.277
1.47147	-5.09125	-150.574
1.48148	-5.22897	-150.866
1.49149	-5.36557	-151.151
1.5015	-5.50108	-151.431
1.51151	-5.6355	-151.705
1.52152	-5.76886	-151.974
1.53153	-5.90116	-152.237
1.54154	-6.03243	-152.495
1.55155	-6.16266	-152.747
1.56156	-6.29189	-152.995
1.57157	-6.42012	-153.239
1.58158	-6.54737	-153.477
1.59159	-6.67365	-153.711
1.6016	-6.79898	-153.941
1.61161	-6.92336	-154.167
1.62162	-7.04681	-154.388
1.63163	-7.16934	-154.605
1.64164	-7.29097	-154.819
1.65165	-7.41171	-155.029
1.66166	-7.53157	-155.235
1.67167	-7.65056	-155.437
1.68168	-7.7687	-155.636
1.69169	-7.88599	-155.831
1.7017	-8.00245	-156.024
1.71171	-8.11808	-156.212
1.72172	-8.23291	-156.398
1.73173	-8.34694	-156.581
1.74174	-8.46018	-156.761
1.75175	-8.57264	-156.938
1.76176	-8.68433	-157.111
